iterations,fitness,time
0,2109.22861552,0.044370304
10,2175.90143204,0.079333554
20,2238.68977098,0.113655671
30,2211.34930318,0.154444242
40,2206.78551432,0.187479564
50,2209.48595247,0.215115854
60,2222.94168388,0.24769468
70,2210.7569702,0.278517754
80,2218.92186541,0.309650444
90,2217.87597171,0.33999097
100,2209.52743459,0.367600829
110,2207.58571068,0.393855172
120,2211.34930318,0.438652898
130,2209.48595247,0.472518143
140,2216.67969927,0.503078421
150,2243.67638731,0.537944255
160,2244.26182812,0.567167518
170,2243.67638731,0.599383866
180,2227.33338861,0.635021853
190,2244.26182812,0.678644169
200,2235.16783954,0.729658012
210,2249.069473,0.768159951
220,2226.93004036,0.807412522
230,2243.67638731,0.850857375
240,2244.26182812,0.881721983
250,2244.26182812,0.912055335
260,2244.26182812,0.942489501
270,2244.26182812,0.970407843
280,2238.93143203,1.000133666
290,2256.07486646,1.02964238
300,2248.1607196,1.059408604
310,2238.93143203,1.087231041
320,2244.26182812,1.113882222
330,2247.97192632,1.140819232
340,2243.67638731,1.168501964
350,2243.67638731,1.198721664
360,2225.98420406,1.221595901
370,2244.26182812,1.250288662
380,2238.93143203,1.282537105
390,2240.04588466,1.316793146
400,2243.67638731,1.347031347
410,2235.16783954,1.371250528
420,2244.26182812,1.403338121
430,2243.67638731,1.433330894
440,2237.06808133,1.466043761
450,2243.02602932,1.500927341
460,2235.95887043,1.531467607
470,2244.26182812,1.56507232
480,2251.44925731,1.599093505
490,2243.67638731,1.629001322
500,2244.26182812,1.659201009
510,2250.37266024,1.693167823
520,2255.67777899,1.727713846
530,2243.67638731,1.755635587
540,2243.67638731,1.786284596
550,2238.93143203,1.817273806
560,2244.26182812,1.851528714
570,2225.998365,1.889616447
580,2240.27652255,1.927218989
590,2244.26182812,1.96256775
600,2247.52437044,2.016205404
610,2229.22736962,2.05510909
620,2252.13228932,2.090478995
630,2226.28513165,2.131049701
640,2247.77242727,2.170645493
650,2234.36764318,2.222101861
660,2230.37301805,2.27215627
670,2227.2901238,2.394065486
680,2235.43386513,2.431290824
690,2254.60683404,2.473910663
700,2245.4373595,2.535373306
710,2234.36764318,2.568961028
720,2228.59317341,2.608945728
730,2257.57371059,2.654748197
740,2226.28513165,2.689771482
750,2233.11936742,2.742178977
760,2229.47280371,2.775553744
770,2249.59969445,2.808819389
780,2238.93143203,2.84357799
790,2226.01910606,2.880353251
800,2244.26182812,2.90776186
810,2268.26461148,2.941847989
820,2244.61314949,2.987947992
830,2226.93004036,3.034791074
840,2235.16783954,3.068902878
850,2248.1607196,3.122065912
860,2238.93143203,3.168767402
870,2235.16783954,3.205516611
880,2244.26182812,3.254621404
890,2237.06808133,3.297869915
900,2226.01910606,3.332255843
910,2226.28513165,3.374511315
920,2243.67638731,3.420211837
930,2228.89419376,3.46250469
940,2246.80386359,3.500732129
950,2237.06808133,3.539668664
960,2239.04411683,3.590511085
970,2249.3546288,3.63229798
980,2238.93143203,3.671888109
990,2244.26182812,3.711816172
1000,2244.26182812,3.761099183
1010,2237.06808133,3.816025143
