iterations,fitness,time
0,2117.17252368,0.038122471
10,2192.50367166,0.072140259
20,2217.41031638,0.105677008
30,2244.64021111,0.14062591
40,2242.89514552,0.169671332
50,2231.35353789,0.202408742
60,2217.0308129,0.232236512
70,2221.46074301,0.260496943
80,2234.86575242,0.291400442
90,2242.89514552,0.324019291
100,2242.89514552,0.358444488
110,2250.14000738,0.395599219
120,2242.89514552,0.429197891
130,2226.03388432,0.463504528
140,2242.89514552,0.498039979
150,2227.69525945,0.531777979
160,2223.81019704,0.581423091
170,2242.89514552,0.616118636
180,2233.43651719,0.649969533
190,2243.53678408,0.6844306
200,2247.11880261,0.72133877
210,2249.34248989,0.771913864
220,2243.53678408,0.810818682
230,2247.11880261,0.848263017
240,2247.11880261,0.885083966
250,2243.57168608,0.922529056
260,2247.11880261,0.956418088
270,2250.00097369,0.98953761
280,2247.11880261,1.022910489
290,2249.34248989,1.050896041
300,2246.90782506,1.081956235
310,2247.11880261,1.111772678
320,2259.02201659,1.145321509
330,2247.11880261,1.173247026
340,2243.53678408,1.20285882
350,2247.11880261,1.231807959
360,2246.83213063,1.263387705
370,2243.6236894,1.294334626
380,2243.98343924,1.327818514
390,2249.34248989,1.361182708
400,2249.34248989,1.389425771
410,2249.34248989,1.422735594
420,2247.40491027,1.458688484
430,2249.34248989,1.493965504
440,2243.57168608,1.520728826
450,2234.05048267,1.548144986
460,2246.90782506,1.586750005
470,2240.33941848,1.626387709
480,2262.61351485,1.661880327
490,2247.47471428,1.69484353
500,2249.34248989,1.72794304
510,2249.34248989,1.753369725
520,2234.73083641,1.788605966
530,2249.34248989,1.823470668
540,2247.11880261,1.861330719
550,2246.90782506,1.895498028
560,2249.34248989,1.93006293
570,2243.6236894,1.96782481
580,2243.6236894,2.000960568
590,2237.08307238,2.035089364
600,2243.57168608,2.069442443
610,2249.34248989,2.104624312
620,2244.89470713,2.137928471
630,2240.33941848,2.171031379
640,2246.90782506,2.2080128
650,2249.34248989,2.242926209
660,2261.24570386,2.278736751
670,2236.57726866,2.315171434
680,2239.42563373,2.350332537
690,2257.04258782,2.388125002
700,2247.11880261,2.421564712
710,2249.34248989,2.455051242
720,2243.53678408,2.490570292
730,2243.57168608,2.525982108
740,2247.11880261,2.569739221
750,2247.11880261,2.611710375
760,2238.09725233,2.647296256
770,2249.34248989,2.680981016
780,2262.0576586,2.715261222
790,2247.11880261,2.755742441
800,2243.6236894,2.79103683
810,2246.90782506,2.825513
820,2253.32132173,2.862697559
830,2249.34248989,2.896500502
840,2249.34248989,2.933231964
850,2249.34248989,2.967793846
860,2244.38444267,3.004402972
870,2255.52690337,3.034667981
880,2243.6236894,3.066015892
890,2258.26126332,3.094407343
900,2243.6236894,3.123360635
910,2254.65888653,3.158057312
920,2244.38444267,3.19212947
930,2244.38444267,3.22635908
940,2244.38444267,3.250343784
950,2243.6236894,3.288230644
960,2255.04335569,3.318843406
970,2249.34248989,3.343244204
980,2243.6236894,3.372699679
990,2258.174358,3.406428617
1000,2243.57168608,3.441170227
1010,2243.57168608,3.468058151
1020,2253.26004976,3.494496754
1030,2251.57187185,3.525648701
1040,2247.10032374,3.55555312
1050,2247.11880261,3.585976335
1060,2249.34248989,3.615535645
1070,2243.6236894,3.647619462
1080,2252.35017331,3.672993663
1090,2232.48122869,3.706400902
1100,2247.54737177,3.737378028
1110,2246.90782506,3.759719121
1120,2264.94681475,3.788302006
1130,2238.15947018,3.817074437
1140,2249.34248989,3.846059824
1150,2247.11880261,3.873111241
1160,2244.38444267,3.908995034
1170,2258.81103904,3.944620938
1180,2244.38444267,3.97253626
1190,2254.06320765,4.001366839
1200,2246.90782506,4.027973087
1210,2247.11880261,4.060128644
1220,2247.11880261,4.088540863
1230,2243.57168608,4.115630793
1240,2245.84778488,4.140249455
1250,2244.8581576,4.17666979
1260,2247.11880261,4.20232982
1270,2246.90782506,4.228389331
1280,2246.90782506,4.262954234
1290,2253.64650316,4.298562015
1300,2244.38444267,4.327580629
1310,2247.11880261,4.359557968
1320,2249.34248989,4.392390528
1330,2239.42563373,4.418745685
1340,2247.11880261,4.444870518
1350,2249.34248989,4.477458784
1360,2246.90782506,4.50405597
1370,2249.34248989,4.537667102
1380,2258.05028577,4.571217443
1390,2247.11880261,4.617484337
1400,2247.11880261,4.654465758
1410,2255.21087854,4.687987026
1420,2245.75225365,4.72350683
1430,2243.57168608,4.754732783
1440,2235.68966992,4.781292589
1450,2253.30537276,4.804563286
1460,2240.33941848,4.832961912
1470,2246.90782506,4.863791405
1480,2251.59600761,4.897431233
1490,2247.11880261,4.923250981
1500,2243.53678408,4.95915554
1510,2248.07147216,4.984758556
1520,2247.11880261,5.010167495
1530,2247.11880261,5.037904976
1540,2247.11880261,5.062114718
1550,2247.11880261,5.096535384
1560,2243.45159049,5.125437325
1570,2247.11880261,5.158763006
1580,2244.38444267,5.188734257
1590,2246.90782506,5.214993886
1600,2246.90782506,5.245525845
1610,2246.90782506,5.270653864
1620,2239.66865788,5.296008809
1630,2243.57168608,5.328867045
1640,2249.34248989,5.35657432
1650,2240.33941848,5.389364213
1660,2246.90782506,5.418716986
1670,2249.34248989,5.453824472
1680,2258.174358,5.489472654
1690,2239.66865788,5.520168105
1700,2249.34248989,5.55161381
1710,2249.34248989,5.58320224
1720,2242.14227652,5.618612168
1730,2249.34248989,5.649869082
1740,2238.15947018,5.675394693
1750,2246.90782506,5.706889484
1760,2259.21393287,5.733908806
1770,2246.90782506,5.766521992
1780,2249.73555481,5.79807493
1790,2243.6236894,5.834482427
1800,2243.6236894,5.872962844
1810,2249.34248989,5.91553624
1820,2243.6236894,5.954253778
1830,2240.64887422,5.988663872
1840,2256.56792126,6.021070143
1850,2262.43945361,6.049909029
1860,2266.20446031,6.083362332
