iterations,fitness,time
0,2183.99059896,0.092788277
10,2209.60267808,0.124861522
20,2246.58447419,0.153606767
30,2232.42276532,0.180456555
40,2241.27824742,0.213161115
50,2246.58447419,0.243546195
60,2241.27824742,0.273833103
70,2223.25676674,0.302567776
80,2246.58447419,0.341936264
90,2241.27824742,0.376838724
100,2232.42276532,0.419389088
110,2231.11495653,0.456320668
120,2240.41040503,0.481879129
130,2234.31232213,0.515995842
140,2246.95648891,0.54481245
150,2264.60595487,0.574941152
160,2252.3338028,0.600681985
170,2252.3338028,0.625854936
180,2245.37428739,0.660252192
190,2250.444246,0.690667478
200,2252.3338028,0.727127837
210,2250.444246,0.765037729
220,2274.83495775,0.802310265
230,2251.5072503,0.836141905
240,2258.43188571,0.87660651
250,2252.34796375,0.915339151
260,2241.27824742,0.956723167
270,2251.5072503,0.9890105
280,2251.5072503,1.018583025
290,2241.27824742,1.048607138
300,2252.34796375,1.076079935
310,2252.34796375,1.110958985
320,2252.34796375,1.159865925
330,2252.34796375,1.207888948
340,2252.34796375,1.243647383
350,2262.57696663,1.270827177
360,2262.57696663,1.299239396
370,2262.57696663,1.324453503
380,2262.57696663,1.35021397
390,2252.34796375,1.377069422
400,2255.28992349,1.403608083
410,2252.34796375,1.435329044
420,2262.57696663,1.464854372
430,2252.34796375,1.491212549
440,2252.34796375,1.522249711
450,2252.34796375,1.552034437
460,2252.34796375,1.584923257
470,2252.34796375,1.617266472
480,2252.34796375,1.659341084
490,2252.34796375,1.70950688
500,2262.57696663,1.78147043
510,2252.34796375,1.825066693
520,2262.57696663,1.868105269
530,2252.34796375,1.90526
540,2260.22997991,1.937653056
550,2252.34796375,1.966846867
560,2252.34796375,1.994804856
570,2252.34796375,2.030232909
580,2256.38317278,2.064035475
590,2252.34796375,2.090118019
600,2262.57696663,2.113609224
610,2252.34796375,2.14268372
620,2262.57696663,2.179270946
630,2252.34796375,2.216056025
640,2262.57696663,2.25740266
650,2252.34796375,2.285968932
660,2252.34796375,2.313836679
670,2252.34796375,2.341753134
680,2252.34796375,2.369705081
690,2252.34796375,2.403516709
700,2262.57696663,2.44639217
710,2252.34796375,2.486694416
