iterations,fitness,time
0,1620.07857137,0.000544848999994
10,1713.42219209,0.00105496099999
20,1772.06488376,0.00168891999999
30,1844.18981575,0.00230324499998
40,1864.43220918,0.00292700899999
50,2025.23247631,0.00355832400001
60,1964.32006034,0.00433614100001
70,1953.5862605,0.00500710300003
80,2013.55657783,0.00553420600002
90,1990.17911306,0.00619761600001
100,2024.82636939,0.00671830000002
110,2011.46757378,0.00726239400001
120,2017.56215995,0.00796507300001
130,2012.22824453,0.00860205200001
140,1972.88845433,0.00911707200001
150,2063.28648136,0.00963284800002
160,2042.60977437,0.010392164
170,2061.97092676,0.011031032
180,2073.3214273,0.011701616
190,2035.86314909,0.012347657
200,2058.9424558,0.012968022
210,2061.54671445,0.013629921
220,2051.83329404,0.014281626
230,2043.87384633,0.014935219
240,2057.14955155,0.015582771
250,2082.22578729,0.01624014
260,2092.70575262,0.016943951
270,2066.97075234,0.01760736
280,2097.58880131,0.018304375
290,2116.40712745,0.018941732
300,2122.18183051,0.019634971
310,2098.73861708,0.020254959
320,2089.08248588,0.020872304
330,2100.56042975,0.021393365
340,2122.05318356,0.022015241
350,2110.65355568,0.022685069
360,2100.54486496,0.023206131
370,2065.90169755,0.0238416
380,2051.4272504,0.024506898
390,2092.33839093,0.025123865
400,2098.01663242,0.025754803
410,2118.83058139,0.026394803
420,2073.01885433,0.027680089
430,2057.29168749,0.028198508
440,2081.81378844,0.028839263
450,2080.76501511,0.029461139
460,2079.29646935,0.030092454
470,2058.29603312,0.030718105
480,2080.27642272,0.031248984
490,2122.49514513,0.031898423
500,2062.93807278,0.032556547
510,2050.2570521,0.033356264
520,2048.78855912,0.033867886
530,2019.59111393,0.034383284
540,2074.87762275,0.034893018
550,2068.19537888,0.035409171
560,2039.69484584,0.036062009
570,2071.93778125,0.036701631
580,2045.39348117,0.037217406
590,2106.89252171,0.037833996
600,2076.84229657,0.038482302
610,2085.78743159,0.039117016
620,2059.46746346,0.039741157
630,2052.13119705,0.040381535
640,2053.23834543,0.041044567
650,2074.230042,0.041572803
660,2055.99641329,0.042214314
670,2046.43290215,0.042875836
680,2090.49001126,0.043556615
690,2056.7944411,0.044227954
700,2064.11509143,0.044909488
710,2053.02463404,0.04558498
720,1988.15695161,0.046221581
730,2033.76504145,0.046872531
740,2033.0125613,0.047426442
750,2051.34243836,0.04805738
760,2139.93893997,0.048705309
770,2077.37950298,0.049233167
780,2066.24579119,0.049880341
790,2055.82821425,0.050503727
800,2053.6766638,0.051125981
810,2059.24576191,0.051756918
820,2078.5941386,0.052415042
830,2038.10869163,0.052942145
840,2028.5136769,0.053565532
850,2013.38634996,0.05419647
860,2045.77749599,0.054717909
870,2039.50376827,0.055229909
880,2019.44716476,0.055889166
890,2075.39804303,0.056522369
900,2073.28069187,0.057157082
910,2094.96711833,0.057779335
920,2118.807873,0.058389883
930,2100.21816038,0.059132207
940,2078.83550715,0.059780136
950,2070.99479544,0.060421647
960,2092.417092,0.060940821
